task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
939	dc/f5f4bf	2486	bwaMem (938)	COMPLETED	0	2020-09-18 07:50:36.685	6m 27s	6m 26s	96.7%	1 GB	1.4 GB	1.7 GB	1.8 GB
943	86/54c9be	31833	bwaMem (942)	COMPLETED	0	2020-09-18 07:55:19.393	2m 15s	2m 15s	91.3%	413.1 MB	1 GB	399.7 MB	382.1 MB
934	16/2967bc	5787	bwaMem (933)	COMPLETED	0	2020-09-18 07:45:16.119	12m 30s	12m 29s	96.0%	1.1 GB	1.4 GB	2.8 GB	2.7 GB
937	e6/f250d0	1530	bwaMem (936)	COMPLETED	0	2020-09-18 07:50:29.795	8m 54s	8m 53s	93.3%	1 GB	1.3 GB	1.7 GB	1.8 GB
940	22/1b07f5	13425	bwaMem (939)	COMPLETED	0	2020-09-18 07:57:46.016	2m 14s	2m 13s	92.6%	417.9 MB	1 GB	398 MB	381.6 MB
933	c4/cadea9	30954	bwaMem (932)	COMPLETED	0	2020-09-18 07:43:55.596	16m 25s	16m 25s	98.4%	1.1 GB	1.4 GB	4.1 GB	3.9 GB
649	82/ef16d0	4488	bwaMem (648)	COMPLETED	0	2020-09-18 07:56:09.035	6m 21s	6m 21s	96.9%	1 GB	1.4 GB	1.4 GB	1.3 GB
938	03/1ad450	9224	bwaMem (937)	COMPLETED	0	2020-09-18 07:57:03.741	6m 46s	6m 46s	97.6%	1 GB	1.3 GB	1.9 GB	1.9 GB
927	ec/81716a	18373	bwaMem (926)	COMPLETED	0	2020-09-18 07:34:53.806	29m 10s	29m 10s	97.1%	1.1 GB	1.4 GB	7 GB	6.8 GB
941	e8/66e9de	12165	bwaMem (940)	COMPLETED	0	2020-09-18 07:57:34.637	7m 11s	7m 11s	97.5%	1 GB	1.3 GB	2 GB	2 GB
946	b2/6a900b	26206	bwaMem (945)	COMPLETED	0	2020-09-18 07:59:59.805	5m 35s	5m 35s	92.7%	538 MB	1.1 GB	512.4 MB	498.6 MB
949	cc/078427	28470	bwaMem (948)	COMPLETED	0	2020-09-18 08:00:21.061	5m 22s	5m 21s	95.9%	1 GB	1.4 GB	1.2 GB	1.3 GB
837	7f/2b91e1	22833	bwaMem (836)	COMPLETED	0	2020-09-18 07:59:23.433	7m 11s	7m 11s	96.2%	1014.1 MB	1.2 GB	1.5 GB	1.4 GB
950	5e/783eda	16965	bwaMem (949)	COMPLETED	0	2020-09-18 08:04:03.779	4m 7s	4m 7s	93.8%	830.2 MB	1.2 GB	832.4 MB	863.6 MB
935	96/65b5b4	22349	bwaMem (934)	COMPLETED	0	2020-09-18 07:48:27.070	21m 16s	21m 15s	95.4%	1 GB	1.4 GB	4.4 GB	4.6 GB
951	ed/cd6dce	15306	bwaMem (950)	COMPLETED	0	2020-09-18 08:03:49.904	7m 21s	7m 21s	95.7%	1 GB	1.3 GB	2 GB	2.1 GB
953	3a/06189e	21804	bwaMem (952)	COMPLETED	0	2020-09-18 08:04:45.776	6m 33s	6m 32s	95.7%	1 GB	1.4 GB	1.7 GB	1.7 GB
955	34/e39c30	27292	bwaMem (954)	COMPLETED	0	2020-09-18 08:05:35.120	6m 15s	6m 15s	95.2%	1 GB	1.3 GB	1.7 GB	1.7 GB
947	1f/c86854	1831	bwaMem (946)	COMPLETED	0	2020-09-18 08:06:34.552	9m 17s	9m 17s	94.9%	1 GB	1.3 GB	2.6 GB	2.6 GB
952	2d/25cb52	21696	bwaMem (951)	COMPLETED	0	2020-09-18 08:09:42.725	7m 28s	7m 28s	94.9%	1 GB	1.4 GB	1.9 GB	1.9 GB
948	11/5d0edc	7923	bwaMem (947)	COMPLETED	0	2020-09-18 08:02:30.362	15m 54s	15m 53s	96.6%	1.1 GB	1.4 GB	3.9 GB	3.8 GB
958	42/dfe84b	32751	bwaMem (957)	COMPLETED	0	2020-09-18 08:11:18.335	7m 46s	7m 46s	96.3%	1 GB	1.4 GB	2.1 GB	2.1 GB
945	1b/93b655	11822	bwaMem (944)	COMPLETED	0	2020-09-18 08:08:10.903	10m 55s	10m 54s	95.7%	1 GB	1.4 GB	2.6 GB	2.5 GB
956	4e/d5c5fe	30426	bwaMem (955)	COMPLETED	0	2020-09-18 08:15:51.977	5m 51s	5m 51s	95.9%	1 GB	1.3 GB	1.6 GB	1.7 GB
960	4f/e7483f	17656	bwaMem (959)	COMPLETED	0	2020-09-18 08:19:05.699	2m 42s	2m 42s	91.9%	475.7 MB	1 GB	484 MB	468.6 MB
961	26/645f4f	6090	bwaMem (960)	COMPLETED	0	2020-09-18 08:17:10.660	5m 53s	5m 52s	94.8%	979.6 MB	1.2 GB	1.3 GB	1.3 GB
963	b9/043aa4	13134	bwaMem (962)	COMPLETED	0	2020-09-18 08:18:24.225	6m 44s	6m 43s	95.7%	1 GB	1.3 GB	1.9 GB	1.9 GB
944	34/309d5b	28186	bwaMem (943)	COMPLETED	0	2020-09-18 08:05:43.123	20m 4s	20m 3s	94.7%	1.1 GB	1.4 GB	4.2 GB	4.3 GB
959	c8/3ea623	17448	bwaMem (958)	COMPLETED	0	2020-09-18 08:19:04.557	8m 34s	8m 33s	95.6%	1.1 GB	1.4 GB	2.4 GB	2.5 GB
962	1e/3892aa	1932	bwaMem (961)	COMPLETED	0	2020-09-18 08:21:43.316	6m 57s	6m 56s	96.3%	1 GB	1.4 GB	1.9 GB	1.9 GB
965	38/e3bf9e	20605	bwaMem (964)	COMPLETED	0	2020-09-18 08:25:07.754	5m 8s	5m 6s	95.4%	1 GB	1.4 GB	1.4 GB	1.4 GB
966	bb/6d0966	24321	bwaMem (965)	COMPLETED	0	2020-09-18 08:25:46.655	7m 7s	7m 7s	95.8%	1 GB	1.4 GB	1.9 GB	1.9 GB
964	41/7a8aae	2547	bwaMem (963)	COMPLETED	0	2020-09-18 08:21:47.517	11m 58s	11m 58s	95.3%	1 GB	1.4 GB	2.8 GB	2.8 GB
