task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
246	bb/6b7d9f	32281	mem (245)	COMPLETED	0	2020-09-21 21:48:40.043	17m 5s	17m 1s	98.6%	1.1 GB	1.4 GB	865.3 MB	3.4 GB
263	8e/b564bf	32409	mem (262)	COMPLETED	0	2020-09-21 22:03:00.423	3m 19s	3m 16s	97.3%	1.1 GB	1.3 GB	97.8 MB	638.5 MB
262	69/d77b4a	8908	mem (261)	COMPLETED	0	2020-09-21 22:04:48.761	3m 4s	3m 2s	95.9%	870.6 MB	1.1 GB	108.5 MB	492.7 MB
260	ef/c6145a	7928	mem (259)	COMPLETED	0	2020-09-21 21:57:29.675	10m 35s	10m 30s	98.3%	1.1 GB	1.3 GB	333.9 MB	2.2 GB
266	83/731950	949	mem (265)	COMPLETED	0	2020-09-21 22:03:08.545	6m 57s	6m 53s	98.5%	1.2 GB	1.4 GB	366.5 MB	1.6 GB
265	91/32085a	13819	mem (264)	COMPLETED	0	2020-09-21 22:05:45.468	4m 25s	4m 22s	96.6%	1.2 GB	1.4 GB	230.2 MB	1.1 GB
268	a0/509a2f	6072	mem (267)	COMPLETED	0	2020-09-21 22:04:15.423	6m 42s	6m 39s	98.9%	1.2 GB	1.4 GB	356.9 MB	1.6 GB
270	61/a2d8ff	26683	mem (269)	COMPLETED	0	2020-09-21 22:08:04.609	3m 41s	3m 38s	95.5%	978.8 MB	1.2 GB	118.5 MB	591.1 MB
264	c1/842989	12192	mem (263)	COMPLETED	0	2020-09-21 22:05:30.430	7m 33s	7m 29s	96.8%	971.1 MB	1.2 GB	247.9 MB	1.2 GB
278	16/baa10e	10171	mem (277)	COMPLETED	0	2020-09-21 22:10:57.384	3m 15s	3m 12s	96.0%	910.2 MB	1.1 GB	122.7 MB	532.1 MB
271	5f/9b319a	4673	mem (270)	COMPLETED	0	2020-09-21 22:10:05.400	5m 20s	5m 17s	97.5%	1.2 GB	1.4 GB	287.7 MB	1.3 GB
256	63/1f3e9f	26569	mem (255)	COMPLETED	0	2020-09-21 22:01:39.159	16m 40s	16m 36s	98.9%	1.2 GB	1.5 GB	716.3 MB	3.1 GB
269	11/4fa9b6	25290	mem (268)	COMPLETED	0	2020-09-21 22:07:52.801	12m 31s	12m 29s	98.5%	1.2 GB	1.5 GB	585.1 MB	2.3 GB
275	4e/781c94	21006	mem (274)	COMPLETED	0	2020-09-21 22:13:02.982	7m 21s	7m 18s	97.0%	1.2 GB	1.4 GB	356.7 MB	1.3 GB
276	5c/f2b32d	12254	mem (275)	COMPLETED	0	2020-09-21 22:18:18.774	2m 43s	2m 40s	96.6%	840.3 MB	1 GB	106.7 MB	458.9 MB
267	67/30862c	17236	mem (266)	COMPLETED	0	2020-09-21 22:06:19.036	17m 23s	17m 20s	98.8%	1.2 GB	1.5 GB	879.3 MB	3.4 GB
281	22/940697	24622	mem (280)	COMPLETED	0	2020-09-21 22:21:02.141	3m 7s	3m 4s	95.6%	1 GB	1.3 GB	91.6 MB	590 MB
280	ad/6411be	20962	mem (279)	COMPLETED	0	2020-09-21 22:20:23.938	4m 27s	4m 24s	96.6%	973.6 MB	1.2 GB	159.7 MB	734 MB
277	9d/61f490	26640	mem (276)	COMPLETED	0	2020-09-21 22:14:12.548	10m 59s	10m 56s	97.0%	1.2 GB	1.4 GB	595.2 MB	2.2 GB
273	5e/4d9adb	14671	mem (272)	COMPLETED	0	2020-09-21 22:11:45.906	14m 50s	14m 47s	98.1%	1.2 GB	1.4 GB	756.3 MB	2.9 GB
288	7c/eadaef	7686	mem (287)	COMPLETED	0	2020-09-21 22:24:50.737	2m 34s	2m 32s	95.3%	805.2 MB	976.5 MB	92.6 MB	406.5 MB
279	cb/977de8	20972	mem (278)	COMPLETED	0	2020-09-21 22:20:23.979	9m 54s	9m 51s	97.7%	1.2 GB	1.5 GB	528.8 MB	1.9 GB
274	f4/8e8b9f	32523	mem (273)	COMPLETED	0	2020-09-21 22:15:25.499	14m 54s	14m 52s	98.6%	1.2 GB	1.4 GB	759.8 MB	2.9 GB
286	5d/5be8da	15140	mem (285)	COMPLETED	0	2020-09-21 22:26:35.587	3m 48s	3m 43s	96.7%	952.7 MB	1.1 GB	132.9 MB	579.4 MB
283	9e/5fe267	2232	mem (282)	COMPLETED	0	2020-09-21 22:23:41.850	6m 58s	6m 54s	97.1%	1.2 GB	1.5 GB	311 MB	1.6 GB
284	8d/3981f9	9573	mem (283)	COMPLETED	0	2020-09-21 22:25:11.340	9m 43s	9m 41s	97.4%	1.2 GB	1.4 GB	324.3 MB	1.8 GB
293	a6/51c543	31024	mem (292)	COMPLETED	0	2020-09-21 22:30:19.992	5m 53s	5m 50s	97.9%	1.2 GB	1.4 GB	312.9 MB	1.4 GB
287	06/504ca5	1568	mem (286)	COMPLETED	0	2020-09-21 22:30:39.848	6m 18s	6m 14s	96.2%	1.2 GB	1.5 GB	296.3 MB	1.5 GB
272	44/8f8e08	5459	mem (271)	COMPLETED	0	2020-09-21 22:10:10.219	27m 24s	27m 21s	99.3%	1.2 GB	1.5 GB	1.3 GB	5.3 GB
282	44/70f73d	4563	mem (281)	COMPLETED	0	2020-09-21 22:24:08.676	14m 54s	14m 51s	98.4%	1.1 GB	1.4 GB	740.7 MB	2.9 GB
292	87/e345dc	20499	mem (291)	COMPLETED	0	2020-09-21 22:34:54.768	6m 14s	6m 11s	97.0%	1.2 GB	1.4 GB	323.4 MB	1.4 GB
294	5c/b877e9	26173	mem (293)	COMPLETED	0	2020-09-21 22:36:13.492	6m 24s	6m 20s	97.8%	1.2 GB	1.5 GB	313.3 MB	1.6 GB
299	8d/931594	29634	mem (298)	COMPLETED	0	2020-09-21 22:36:57.626	5m 58s	5m 56s	97.1%	1.2 GB	1.4 GB	309.7 MB	1.4 GB
285	0e/9c60b7	31668	mem (284)	COMPLETED	0	2020-09-21 22:30:23.645	12m 44s	12m 40s	97.8%	1.1 GB	1.3 GB	650.1 MB	2.5 GB
290	6e/2edea1	18856	mem (289)	COMPLETED	0	2020-09-21 22:27:25.118	15m 45s	15m 41s	98.5%	1.2 GB	1.6 GB	819.2 MB	2.8 GB
296	5e/877c59	15719	mem (295)	COMPLETED	0	2020-09-21 22:41:08.530	2m 36s	2m 33s	96.3%	789.8 MB	911.4 MB	92.9 MB	411.2 MB
304	be/a94eea	22822	mem (303)	COMPLETED	0	2020-09-21 22:42:55.899	1m 9s	1m 6s	96.3%	418.4 MB	500.8 MB	44 MB	200.5 MB
289	0d/e60ac6	30602	mem (288)	COMPLETED	0	2020-09-21 22:30:18.212	14m 4s	14m 1s	98.3%	1.2 GB	1.4 GB	772.4 MB	2.7 GB
297	71/f43b57	6502	mem (296)	COMPLETED	0	2020-09-21 22:39:02.236	5m 29s	5m 26s	97.6%	1.2 GB	1.4 GB	265.7 MB	1.4 GB
291	86/b2b06c	32482	mem (290)	COMPLETED	0	2020-09-21 22:37:33.743	7m 38s	7m 34s	97.9%	1.2 GB	1.4 GB	385.7 MB	1.4 GB
303	73/4d0056	32038	mem (302)	COMPLETED	0	2020-09-21 22:44:22.543	2m 11s	2m 8s	96.1%	926.9 MB	1 GB	106.6 MB	457.2 MB
300	02/ad1326	24457	mem (299)	COMPLETED	0	2020-09-21 22:43:09.697	4m 20s	4m 17s	98.4%	1.2 GB	1.4 GB	208.3 MB	1.1 GB
301	bf/c47668	28038	mem (300)	COMPLETED	0	2020-09-21 22:43:44.654	5m 12s	5m 9s	98.4%	1.2 GB	1.4 GB	254.5 MB	1.3 GB
295	53/89acc2	21147	mem (294)	COMPLETED	0	2020-09-21 22:42:37.536	6m 58s	6m 54s	99.1%	1.2 GB	1.4 GB	375.1 MB	1.7 GB
307	81/cc7446	825	mem (306)	COMPLETED	0	2020-09-21 22:44:31.715	5m 40s	5m 37s	97.2%	1.2 GB	1.4 GB	317.4 MB	1.4 GB
302	7c/1cd42a	30130	mem (301)	COMPLETED	0	2020-09-21 22:44:04.584	6m 18s	6m 15s	97.5%	1.2 GB	1.5 GB	343.2 MB	1.5 GB
305	dd/af8cbd	24898	mem (304)	COMPLETED	0	2020-09-21 22:48:56.466	1m 55s	1m 53s	96.1%	785 MB	869.7 MB	80.1 MB	358.2 MB
