task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
787	3c/0821dc	25327	samtoolsIndex (786)	COMPLETED	0	2020-09-18 16:50:54.559	12.4s	12.2s	65.4%	6.2 MB	29.6 MB	319.6 MB	13.8 KB
780	25/6cf21b	28917	samtoolsIndex (779)	COMPLETED	0	2020-09-18 16:51:04.446	2.6s	2.4s	66.6%	6.1 MB	29.5 MB	57.3 MB	13.4 KB
788	9f/879263	25689	samtoolsIndex (787)	COMPLETED	0	2020-09-18 16:50:55.186	12s	11.8s	65.9%	6.1 MB	29.5 MB	299.4 MB	13.7 KB
773	13/ba2813	23364	samtoolsIndex (772)	COMPLETED	0	2020-09-18 16:50:48.874	18.9s	18.7s	66.8%	6.1 MB	29.6 MB	504.5 MB	14.5 KB
785	9c/a3033f	29862	samtoolsIndex (784)	COMPLETED	0	2020-09-18 16:51:06.973	2.3s	2.1s	69.8%	6.1 MB	29.5 MB	54.1 MB	13.3 KB
781	5f/57262a	24381	samtoolsIndex (780)	COMPLETED	0	2020-09-18 16:50:52.283	17.6s	17.5s	67.3%	6.1 MB	29.6 MB	459.6 MB	14.5 KB
791	ef/782b62	30359	samtoolsIndex (790)	COMPLETED	0	2020-09-18 16:51:07.738	5.6s	5.5s	68.7%	6.2 MB	29.6 MB	130.6 MB	13.9 KB
779	2c/fec626	28623	samtoolsIndex (778)	COMPLETED	0	2020-09-18 16:51:03.589	9.8s	9.7s	72.0%	5.9 MB	29.5 MB	240.3 MB	13.8 KB
795	8a/290e51	31067	samtoolsIndex (794)	COMPLETED	0	2020-09-18 16:51:09.922	4.1s	3.9s	59.7%	6.2 MB	29.5 MB	97.9 MB	13.6 KB
789	db/3d5cb3	30028	samtoolsIndex (788)	COMPLETED	0	2020-09-18 16:51:07.197	7.4s	7.1s	66.5%	6.3 MB	29.5 MB	182.8 MB	13.4 KB
796	c6/e38c2a	546	samtoolsIndex (795)	COMPLETED	0	2020-09-18 16:51:14.594	1.9s	1.8s	66.1%	6.1 MB	29.5 MB	39.9 MB	13.2 KB
783	ae/bb4a7f	29794	samtoolsIndex (782)	COMPLETED	0	2020-09-18 16:51:06.870	13.1s	12.9s	68.0%	6.2 MB	29.6 MB	329.6 MB	13.7 KB
782	40/178c27	29435	samtoolsIndex (781)	COMPLETED	0	2020-09-18 16:51:05.995	14.4s	14.3s	66.6%	6.2 MB	29.6 MB	366.2 MB	14.1 KB
799	5e/438601	2754	samtoolsIndex (798)	COMPLETED	0	2020-09-18 16:51:20.399	2.5s	2.3s	62.0%	6.1 MB	29.5 MB	55.4 MB	13.4 KB
794	14/7daab1	32422	samtoolsIndex (793)	COMPLETED	0	2020-09-18 16:51:13.360	12.7s	12.6s	59.6%	6 MB	29.6 MB	317.3 MB	13.7 KB
793	4f/a82a22	32680	samtoolsIndex (792)	COMPLETED	0	2020-09-18 16:51:14.038	12.7s	12.6s	65.7%	6.1 MB	29.5 MB	315.7 MB	13.7 KB
801	2e/c906e3	4614	samtoolsIndex (800)	COMPLETED	0	2020-09-18 16:51:26.112	3.2s	3s	69.9%	6.1 MB	29.5 MB	77 MB	13.5 KB
786	5a/ee91cf	29916	samtoolsIndex (785)	COMPLETED	0	2020-09-18 16:51:07.068	22.3s	22.1s	66.9%	6.2 MB	29.6 MB	566.3 MB	14.7 KB
800	48/62043c	1288	samtoolsIndex (799)	COMPLETED	0	2020-09-18 16:51:16.516	12.8s	12.7s	61.4%	6.3 MB	29.5 MB	324.5 MB	13.6 KB
792	1b/134c34	30846	samtoolsIndex (791)	COMPLETED	0	2020-09-18 16:51:09.234	21.3s	21.2s	65.4%	6.3 MB	29.6 MB	533.1 MB	14.5 KB
798	cf/21c605	2577	samtoolsIndex (797)	COMPLETED	0	2020-09-18 16:51:19.937	11s	10.7s	62.4%	6.2 MB	29.5 MB	279 MB	13.6 KB
806	71/96dac7	4751	samtoolsIndex (805)	COMPLETED	0	2020-09-18 16:51:26.725	5.1s	4.9s	68.4%	6.1 MB	29.5 MB	125.9 MB	13.6 KB
